split,label,class_name,train_images,test_images,total_images
NWPU45_10,15,golf_course,70,630,700
NWPU45_10,16,ground_track_field,70,630,700
NWPU45_10,17,harbor,70,630,700
NWPU45_10,18,industrial_area,70,630,700
NWPU45_10,19,intersection,70,630,700
NWPU45_10,20,island,70,630,700
NWPU45_10,21,lake,70,630,700
NWPU45_10,22,meadow,70,630,700
NWPU45_10,23,medium_residential,70,630,700
NWPU45_10,24,mobile_home_park,70,630,700
NWPU45_10,25,mountain,70,630,700
NWPU45_10,26,overpass,70,630,700
NWPU45_10,27,palace,70,630,700
NWPU45_10,28,parking_lot,70,630,700
NWPU45_10,29,railway,70,630,700
NWPU45_10,30,railway_station,70,630,700
NWPU45_10,31,rectangular_farmland,70,630,700
NWPU45_10,32,river,70,630,700
NWPU45_10,33,roundabout,70,630,700
NWPU45_10,34,runway,70,630,700
NWPU45_10,35,sea_ice,70,630,700
NWPU45_10,36,ship,70,630,700
NWPU45_10,37,snowberg,70,630,700
NWPU45_10,38,sparse_residential,70,630,700
NWPU45_10,39,stadium,70,630,700
NWPU45_10,40,storage_tank,70,630,700
NWPU45_10,41,tennis_court,70,630,700
NWPU45_10,42,terrace,70,630,700
NWPU45_10,43,thermal_power_station,70,630,700
NWPU45_10,44,wetland,70,630,700
NWPU45_20,0,airplane,140,560,700
NWPU45_20,1,airport,140,560,700
NWPU45_20,2,baseball_diamond,140,560,700
NWPU45_20,3,basketball_court,140,560,700
NWPU45_20,4,beach,140,560,700
NWPU45_20,5,bridge,140,560,700
NWPU45_20,6,chaparral,140,560,700
NWPU45_20,7,church,140,560,700
NWPU45_20,8,circular_farmland,140,560,700
NWPU45_20,9,cloud,140,560,700
NWPU45_20,10,commercial_area,140,560,700
NWPU45_20,11,dense_residential,140,560,700
NWPU45_20,12,desert,140,560,700
NWPU45_20,13,forest,140,560,700
NWPU45_20,14,freeway,140,560,700
NWPU45_20,15,golf_course,140,560,700
NWPU45_20,16,ground_track_field,140,560,700
NWPU45_20,17,harbor,140,560,700
NWPU45_20,18,industrial_area,140,560,700
NWPU45_20,19,intersection,140,560,700
NWPU45_20,20,island,140,560,700
NWPU45_20,21,lake,140,560,700
NWPU45_20,22,meadow,140,560,700
NWPU45_20,23,medium_residential,140,560,700
NWPU45_20,24,mobile_home_park,140,560,700
NWPU45_20,25,mountain,140,560,700
NWPU45_20,26,overpass,140,560,700
NWPU45_20,27,palace,140,560,700
NWPU45_20,28,parking_lot,140,560,700
NWPU45_20,29,railway,140,560,700
NWPU45_20,30,railway_station,140,560,700
NWPU45_20,31,rectangular_farmland,140,560,700
NWPU45_20,32,river,140,560,700
NWPU45_20,33,roundabout,140,560,700
NWPU45_20,34,runway,140,560,700
NWPU45_20,35,sea_ice,140,560,700
NWPU45_20,36,ship,140,560,700
NWPU45_20,37,snowberg,140,560,700
NWPU45_20,38,sparse_residential,140,560,700
NWPU45_20,39,stadium,140,560,700
NWPU45_20,40,storage_tank,140,560,700
NWPU45_20,41,tennis_court,140,560,700
NWPU45_20,42,terrace,140,560,700
NWPU45_20,43,thermal_power_station,140,560,700
NWPU45_20,44,wetland,140,560,700
UCM_20,0,agricultural,20,80,100
UCM_20,1,airplane,20,80,100
UCM_20,2,baseballdiamond,20,80,100
UCM_20,3,beach,20,80,100
UCM_20,4,buildings,20,80,100
UCM_20,5,chaparral,20,80,100
UCM_20,6,denseresidential,20,80,100
UCM_20,7,forest,20,80,100
UCM_20,8,freeway,20,80,100
UCM_20,9,golfcourse,20,80,100
UCM_20,10,harbor,20,80,100
UCM_20,11,intersection,20,80,100
UCM_20,12,mediumresidential,20,80,100
UCM_20,13,mobilehomepark,20,80,100
UCM_20,14,overpass,20,80,100
UCM_20,15,parkinglot,20,80,100
UCM_20,16,river,20,80,100
UCM_20,17,runway,20,80,100
UCM_20,18,sparseresidential,20,80,100
UCM_20,19,storagetanks,20,80,100
UCM_20,20,tenniscourt,20,80,100
UCM_50,0,agricultural,50,50,100
UCM_50,1,airplane,50,50,100
UCM_50,2,baseballdiamond,50,50,100
UCM_50,3,beach,50,50,100
UCM_50,4,buildings,50,50,100
UCM_50,5,chaparral,50,50,100
UCM_50,6,denseresidential,50,50,100
UCM_50,7,forest,50,50,100
UCM_50,8,freeway,50,50,100
UCM_50,9,golfcourse,50,50,100
UCM_50,10,harbor,50,50,100
UCM_50,11,intersection,50,50,100
UCM_50,12,mediumresidential,50,50,100
UCM_50,13,mobilehomepark,50,50,100
UCM_50,14,overpass,50,50,100
UCM_50,15,parkinglot,50,50,100
UCM_50,16,river,50,50,100
UCM_50,17,runway,50,50,100
UCM_50,18,sparseresidential,50,50,100
UCM_50,19,storagetanks,50,50,100
UCM_50,20,tenniscourt,50,50,100
UCM_80,0,agricultural,80,20,100
UCM_80,1,airplane,80,20,100
UCM_80,2,baseballdiamond,80,20,100
UCM_80,3,beach,80,20,100
UCM_80,4,buildings,80,20,100
UCM_80,5,chaparral,80,20,100
UCM_80,6,denseresidential,80,20,100
UCM_80,7,forest,80,20,100
UCM_80,8,freeway,80,20,100
UCM_80,9,golfcourse,80,20,100
UCM_80,10,harbor,80,20,100
UCM_80,11,intersection,80,20,100
UCM_80,12,mediumresidential,80,20,100
UCM_80,13,mobilehomepark,80,20,100
UCM_80,14,overpass,80,20,100
UCM_80,15,parkinglot,80,20,100
UCM_80,16,river,80,20,100
UCM_80,17,runway,80,20,100
UCM_80,18,sparseresidential,80,20,100
UCM_80,19,storagetanks,80,20,100
UCM_80,20,tenniscourt,80,20,100
